magnitude,cdi,mmi,sig,nst,dmin,gap,depth,latitude,longitude,Year,Month,tsunami
7,8,7,768,117,0.509,17,14,-9.7963,159.596,2022,11,1
6.9,4,4,735,99,2.229,34,25,-4.9559,100.738,2022,11,0
7,3,3,755,147,3.125,18,579,-20.0508,-178.346,2022,11,1
7.3,5,5,833,149,1.865,21,37,-19.2918,-172.129,2022,11,1
6.6,0,2,670,131,4.998,27,624.464,-25.5948,178.278,2022,11,1
7,4,3,755,142,4.578,26,660,-26.0442,178.381,2022,11,1
6.8,1,3,711,136,4.678,22,630.379,-25.9678,178.363,2022,11,1
6.7,7,6,797,145,1.151,37,20,7.6712,-82.3396,2022,10,1
6.8,8,7,1179,175,2.137,92,20,18.33,-102.913,2022,9,1
7.6,9,8,1799,271,1.153,69,26.943,18.3667,-103.252,2022,9,1
6.9,9,9,887,215,0.401,34,10,23.1444,121.307,2022,9,1
6.5,7,7,756,178,0.43,54,10,23.029,121.348,2022,9,1
7,7,5,761,192,2.977,45,137,-21.2077,170.239,2022,9,1
7.6,8,8,965,272,3.158,12,116,-6.2237,146.471,2022,9,1
6.6,9,8,1043,141,8.454,34,12,29.7263,102.279,2022,9,0
6.6,7,6,672,68,5.293,34,30,-32.6922,-178.959,2022,8,1
7,9,8,1351,152,5.276,22,33.729,17.5978,120.809,2022,7,1
6.5,3,2,653,236,1.999,31,622.73,-9.0618,-71.1647,2022,6,0
7.2,7,5,876,144,2.494,40,236,-14.8628,-70.3081,2022,5,1
6.9,2,5,733,127,0.371,45,10,-54.1325,159.027,2022,5,1
6.8,6,5,762,162,1.505,30,220,-23.6141,-66.7236,2022,5,1
6.6,6,5,762,0,0.914,94,27,11.5538,-86.9919,2022,4,1
7,6,4,763,0,2.705,26,10,-22.5732,170.349,2022,3,1
6.9,6,4,738,0,2.697,42,10,-22.72,170.277,2022,3,1
6.7,8,7,806,0,0.289,32,24,23.3421,121.636,2022,3,1
7.3,9,8,2397,0,2.936,29,41,37.7015,141.587,2022,3,1
6.7,9,6,708,0,2.188,43,28,-0.6831,98.6034,2022,3,0
6.6,2,7,670,0,0.827,46,24,-30.0528,-177.74,2022,3,1
6.8,2,3,712,0,5.78,12,535,-23.7852,-179.968,2022,2,1
6.5,8,6,690,0,3.026,22,110,-4.455,-76.9395,2022,2,0
6.5,7,4,651,0,1.088,57,8,-29.535,-176.729,2022,1,1
6.6,8,6,785,0,2.418,22,33,-6.9291,105.251,2022,1,0
6.5,0,3,650,97,1.61607,108,37,52.502,-168.08,2022,1,1
6.5,0,3,650,23,0,208.8,37,52.502,-168.08,2022,1,1
6.6,8,5,674,0,0.507,49,19,52.6252,-168.15,2022,1,1
6.7,0,4,691,50,0.936943,126,33,52.48,-167.736,2022,1,1
6.7,0,4,691,20,0,205.2,33,52.48,-167.736,2022,1,1
6.8,7,6,730,0,0.92,61,20,52.6563,-167.917,2022,1,1
6.6,6,6,976,0,1.168,21,21,35.1456,31.9095,2022,1,0
6.6,9,8,1012,0,2.685,13,13,37.8167,101.299,2022,1,0
7.3,8,7,921,0,3.713,19,165.49,-7.5924,127.581,2021,12,0
7.3,9,5,854,0,1.025,32,14.27,-7.6033,122.2,2021,12,1
7.5,8,8,1094,0,4.951,40,126,-4.4898,-76.8461,2021,11,1
6.6,7,4,688,0,3.259,15,12,23.5414,126.48,2021,11,1
6.9,8,6,995,0,0,0,51.6,56.2581,-156.492,2021,10,1
6.9,4,3,740,0,4.778,31,535,-21.1704,174.54,2021,10,1
7.3,4,4,826,0,4.493,32,527,-21.1036,174.895,2021,10,1
6.5,7,5,684,0,0.993,114,21,12.1598,-87.8542,2021,9,1
7,8,8,2504,0,0.07,43,20,16.9502,-99.7877,2021,9,1
7.1,1,4,776,0,9.799,32,6,-60.3026,-24.9992,2021,8,1
